variavel,importancia,contribuicao_pct
numeric__taxa_alfabetizacao_municipio,0.3293386133677201,32.93
numeric__media_portugues_municipio,0.2812252396171448,28.12
numeric__proporcao_basico,0.08461178429609653,8.46
numeric__proporcao_adequado_avancado,0.07723708037104304,7.72
numeric__proporcao_abaixo_basico,0.049941306730185465,4.99
categorical__sigla_uf_code_23,0.04245455954586922,4.25
numeric__inse_municipio,0.028607700150885207,2.86
numeric__peso_aluno,0.02516564707058275,2.52
categorical__sigla_uf_code_29,0.024660210354809677,2.47
categorical__sigla_uf_code_41,0.008881434978710698,0.89
numeric__taxa_alfabetizacao_escola_prior,0.0077396340244153565,0.77
categorical__rede_Municipal,0.005533217283448285,0.55
numeric__n_alunos_prior_escola,0.005374049930193739,0.54
categorical__rede_Estadual,0.005336161675359427,0.53
numeric__tem_historico_escola,0.0032157447886632926,0.32
categorical__sigla_uf_code_28,0.0031000441510459706,0.31
categorical__sigla_uf_code_35,0.0028736246373202057,0.29
categorical__sigla_uf_code_31,0.0024406479477406696,0.24
categorical__sigla_uf_code_24,0.0018626803806426348,0.19
categorical__sigla_uf_code_33,0.0013783602332528976,0.14
categorical__sigla_uf_code_52,0.001239762854578637,0.12
categorical__sigla_uf_code_26,0.0011670932427531914,0.12
categorical__sigla_uf_code_15,0.0010609693810827519,0.11
categorical__sigla_uf_code_27,0.0007505992821316215,0.08
categorical__sigla_uf_code_50,0.0007541007396104661,0.08
categorical__sigla_uf_code_43,0.0006410803426371312,0.06
categorical__sigla_uf_code_13,0.0006277636556159685,0.06
categorical__sigla_uf_code_32,0.0006091503986485312,0.06
categorical__sigla_uf_code_42,0.00046213704308387636,0.05
categorical__sigla_uf_code_22,0.00026711526214104466,0.03
categorical__sigla_uf_code_21,0.0003037063896949782,0.03
categorical__sigla_uf_code_51,0.000280986140482499,0.03
categorical__sigla_uf_code_16,0.0002174059295340091,0.02
categorical__sigla_uf_code_17,0.0002448749003784484,0.02
categorical__sigla_uf_code_25,0.00016649130313054335,0.02
categorical__sigla_uf_code_11,0.00014130124628215806,0.01
categorical__sigla_uf_code_53,6.36078642598629e-05,0.01
categorical__sigla_uf_code_12,2.4112488824444215e-05,0.0
