variavel,importancia,contribuicao_pct
numeric__taxa_alfabetizacao_municipio,0.24606024,24.61
numeric__nivel_alfabetizacao,0.21224856,21.22
numeric__media_portugues_municipio,0.11423166,11.42
categorical__sigla_uf_code_41,0.08590225,8.59
numeric__proporcao_adequado_avancado,0.05218028,5.22
categorical__sigla_uf_code_23,0.031648006,3.16
categorical__rede_Municipal,0.023472873,2.35
categorical__rede_Estadual,0.02260395,2.26
categorical__sigla_uf_code_29,0.019167528,1.92
numeric__meta_2024,0.018988518,1.9
numeric__proporcao_basico,0.010639872,1.06
categorical__sigla_uf_code_27,0.0089888,0.9
numeric__peso_aluno,0.008499522,0.85
categorical__sigla_uf_code_35,0.007852052,0.79
numeric__tem_historico_escola,0.0072652427,0.73
numeric__ird_medio,0.0071945684,0.72
numeric__inse_municipio,0.006492364,0.65
categorical__sigla_uf_code_50,0.006395321,0.64
categorical__sigla_uf_code_33,0.00571795,0.57
categorical__sigla_uf_code_26,0.005300309,0.53
categorical__sigla_uf_code_42,0.0053436565,0.53
numeric__pct_escolas_biblioteca,0.005185789,0.52
categorical__sigla_uf_code_13,0.00510622,0.51
numeric__percentual_participacao,0.0048166076,0.48
numeric__n_escolas_censo_celula,0.004737881,0.47
numeric__pct_escolas_energia_publica,0.0041457396,0.41
categorical__sigla_uf_code_31,0.00393917,0.39
numeric__dsu_medio,0.0035041138,0.35
categorical__sigla_uf_code_16,0.0035006844,0.35
numeric__tdi_2ano,0.0032873673,0.33
numeric__afd_grupo1_pct,0.0033379758,0.33
categorical__sigla_uf_code_51,0.0031571514,0.32
numeric__proporcao_abaixo_basico,0.0031249658,0.31
categorical__sigla_uf_code_15,0.0030985351,0.31
categorical__sigla_uf_code_17,0.002952834,0.3
numeric__atu_2ano,0.0029144506,0.29
categorical__sigla_uf_code_28,0.002787263,0.28
numeric__pct_escolas_esgoto_publico,0.0027355002,0.27
categorical__sigla_uf_code_22,0.002459496,0.25
numeric__pct_escolas_internet,0.0025021222,0.25
categorical__sigla_uf_code_32,0.0024580464,0.25
categorical__sigla_uf_code_25,0.002371534,0.24
categorical__sigla_uf_code_43,0.0024297398,0.24
numeric__pct_escolas_rurais,0.0021958693,0.22
categorical__sigla_uf_code_11,0.0022416112,0.22
numeric__pct_escolas_agua_potavel,0.002052316,0.21
numeric__had_2ano,0.002109879,0.21
categorical__sigla_uf_code_12,0.0020552396,0.21
numeric__taxa_alfabetizacao_escola_prior,0.0020463078,0.2
categorical__sigla_uf_code_52,0.0018362699,0.18
categorical__sigla_uf_code_21,0.0016643797,0.17
numeric__n_alunos_prior_escola,0.00161471,0.16
categorical__sigla_uf_code_24,0.0014365996,0.14
categorical__sigla_uf_code_53,0.0,0.0
