posicao,id_municipio,uf,n_alunos_avaliados,risco_medio,taxa_alfabetizacao_real,inse_municipio,gap_meta_2030
1,290720,BA,223,0.8668860751775623,18.385650224215247,4.299310344827586,-63.80698630136987
2,170770,TO,30,0.8655468148061022,13.333333333333334,4.262,-67.77898550724638
3,280510,SE,25,0.8594549968728827,8.0,4.4399999999999995,-66.94844827586206
4,170307,TO,28,0.8459640097313292,17.857142857142858,4.54,-64.99567567567567
5,290225,BA,29,0.8445716645121475,6.896551724137931,4.2425,-64.85992481203007
6,290190,BA,99,0.8445313112001688,17.17171717171717,3.9890000000000003,-62.827547169811325
7,291540,BA,27,0.8428999479603794,18.51851851851852,4.473333333333334,-61.93347826086956
8,292560,BA,39,0.8360399904185962,30.76923076923077,4.571818181818181,-59.33538461538461
9,171195,TO,29,0.8337634352541556,13.793103448275861,4.415,-61.83175438596491
10,292980,BA,35,0.8333786116544757,5.714285714285714,4.384444444444445,-62.14230303030303
11,290220,BA,28,0.8316619927458545,21.428571428571427,4.4079999999999995,-59.88999999999999
12,280150,SE,64,0.8307252208275033,20.3125,4.571428571428571,-59.244326923076926
13,280540,SE,148,0.8306338585528594,27.027027027027028,4.168235294117648,-59.960262172284644
14,292080,BA,31,0.8298108751752282,12.903225806451612,4.458749999999998,-60.25
15,280020,SE,39,0.8292336043748739,25.64102564102564,4.145,-59.06126984126984
16,291910,BA,20,0.8280759433160905,20.0,4.164285714285715,-58.84690265486726
17,240540,RN,28,0.8252350191036173,25.0,4.3999999999999995,-59.42681481481482
18,170300,TO,43,0.824805701319409,13.953488372093023,4.46,-60.05072289156627
19,293010,BA,168,0.8228504882299387,23.214285714285715,4.4237931034482765,-57.916670270270274
20,292610,BA,48,0.8222143943654218,22.916666666666664,4.478571428571429,-58.92785123966942
21,293050,BA,198,0.8219963016205007,25.252525252525253,4.341304347826086,-57.32341511285574
22,280270,SE,45,0.821223408390944,31.11111111111111,4.298333333333333,-57.6508108108108
