uf,municipios,risco_medio
SE,61,0.7369324603624081
BA,392,0.7020089055278836
RN,107,0.6785518923875064
TO,84,0.6495848670645253
AP,16,0.6242012064805665
PA,143,0.6078603966520953
AC,19,0.5978673419556643
AL,96,0.5882550882070602
AM,62,0.5691602709429958
MS,78,0.5384399363306914
RJ,92,0.5169491156724846
PB,144,0.5116639016066681
DF,1,0.4950717445860342
MT,119,0.4761973513698018
RS,239,0.4714736944586689
SP,372,0.46490806988011973
PI,147,0.45451925221871153
MA,211,0.4530186974786692
PE,182,0.45220640424289626
SC,207,0.4396963563058216
RO,49,0.4178246200575721
MG,602,0.3836456814624851
PR,326,0.3244496531408927
GO,168,0.32262374638624663
ES,77,0.3112714470324133
CE,183,0.13532027785976697
